,用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
8009,5480B15F85A740553A74788115288A46,男,28.0,天津,公众客户,1,频繁换机型,华为,4G,ANDROID 6.0,2.0,社会渠道,3635.461174,0.0,151.9,80.2,79.5,0.7,0.7,41.7,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
8010,54CD893319110CB01A9E1FA04D3637FE,男,28.0,北京,公众客户,49,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,4586.192048,1054.243949,342.75,158.0,157.8,0.2,0.2,30.75,否,国内流量套餐,90元2GB国内流量套餐
8011,5584DF26EFB057183C8E943E0FB59459,男,24.0,保定,公众客户,1,频繁换机型,苹果,3G,IOS,1.0,自有渠道,290.608924,0.0,55.45,2.3,1.8,0.5,0.5,33.15,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8012,4784DFD955A3CCA9E3D82EEB4037C7DE,男,41.0,北京,公众客户,39,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2906.927357,370.582486,457.37,0.26,135.0,0.26,0.0,53.76,否,基本套餐,296元基本套餐（含国内语音1000分钟，国内流量4GB)
8013,48E8D0673FE2092E6D0745471834C16C,男,26.0,衡水,公众客户,42,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,438.047886,143.022896,66.0,28.7,28.5,0.2,0.2,7.65,否,4G本地语音套餐,4G本地语音套餐-16元套餐
8014,491BE60D1CE2C170C73D3B5EBC469D12,女,19.0,北京,公众客户,1,偶尔换机型,维沃,3G,ANDROID,1.0,自有渠道,0.016535,0.016535,9.1,0.7,0.3,0.4,0.4,4.4,否,省内流量套餐,10元150MB省内流量套餐
8015,492968912519CFB500B3EB84424F87F0,男,25.0,廊坊,公众客户,52,频繁换机型,小米,4G,ANDROID 5.0.2,2.0,社会渠道,965.662414,965.662414,119.64,12.9,11.2,0.8,1.7,12.75,否,国内流量套餐,10元100MB国内流量套餐
8017,4B48108168980F806BEA46BBBF011231,男,21.0,邢台,公众客户,26,频繁换机型,魅族,4G,ANDROID 5.0.1,2.0,社会渠道,517.297388,5.919263,164.85,68.64,36.0,32.3,30.42,39.9,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8018,4B519EF005B62C7C4A5ABE7DCC861DEE,女,44.0,石家庄,公众客户,11,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1589.953942,0.0,101.32,13.1,10.8,2.3,2.3,27.45,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
8019,509A86CCAA0261408F7FEF01EB4663A7,女,48.0,天津,公众客户,92,频繁换机型,小米,4G,ANDROID 4.4.2,2.0,社会渠道,1620.0652,2.337208,108.85,3.9,0.9,3.0,0.0,34.95,否,本地套餐,4G本地套餐-70元套餐
8020,52FF045125DD2D8F34439D6F02E6897D,女,33.0,石家庄,公众客户,64,频繁换机型,小米,3G,ANDROID 4.1.1,1.0,自有渠道,119.671762,0.0,54.85,3.0,0.8,0.2,0.2,5.85,否,国内流量套餐,10元100MB国内流量套餐
8021,53C860836E5D33D4B1C7FB2D21F5DE8A,男,24.0,北京,公众客户,14,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,1583.298783,1583.298783,154.15,67.3,12.8,54.5,54.5,4.85,否,国内流量套餐,60元1GB国内流量套餐
8022,53F2701B7F6D68A753CF7373EAC89DD5,男,52.0,邢台,公众客户,75,频繁换机型,联想,2G,ANDROID,2.0,社会渠道,505.910932,0.0,70.85,26.7,15.3,10.4,10.4,18.15,否,本地套餐,4G本地套餐-26元套餐
8024,55E6654998DC64D0F3A0DC293A9A3E99,男,48.0,天津,公众客户,65,频繁换机型,苹果,3G,IOS,2.0,社会渠道,715.837291,42.223087,51.4,12.9,15.6,3.0,0.0,12.5,否,本地套餐,4G本地套餐-26元套餐
8025,563DA7CE10E2B0A1191B0B2C0C6D78A3,男,37.0,北京,公众客户,54,频繁换机型,华为,4G,ANDROID 5.1.1,2.0,社会渠道,445.040775,26.041299,60.99,7.32,10.0,1.02,0.3,1.92,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
8027,57F56014EEF17E31B79205729D521F0D,男,27.0,北京,公众客户,45,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1689.697968,772.534669,301.48,0.52,95.0,0.52,0.0,0.96,是,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
8028,57F803620455BF3F916F73A67CEDD912,男,33.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 6.0,1.0,自有渠道,2.186233,2.186233,26.9,0.7,0.6,0.1,0.1,8.2,否,省内流量套餐,20元450MB省内流量套餐
8029,591EDBBF2CE79665D70043B69F5BB078,女,44.0,沧州,公众客户,12,频繁换机型,苹果,3G,IOS 7.0,2.0,社会渠道,1070.319485,0.0,245.3,200.1,189.6,0.2,0.5,19.2,否,本地套餐,4G本地套餐-26元套餐
8030,5ABF53E2CF00F72E3647E09630A0794A,男,21.0,天津,公众客户,1,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,95.067253,54.85079,24.55,16.9,16.5,0.3,0.2,7.65,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
8031,5B7237AD867AF0D9F87512796430D123,男,20.0,天津,公众客户,6,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,891.80283,0.0,70.1,42.6,42.6,0.2,0.0,5.0,否,本地套餐,4G本地套餐-40元套餐（京津）
8032,5B800114E9F6A914B09BF0CCFAAC839C,女,57.0,保定,公众客户,177,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,254.861435,3.0073,32.35,0.0,1.2,0.5,0.0,6.35,否,本地套餐,4G本地套餐-26元套餐
8033,5C45BC617674F339778F502F6FC27D51,女,21.0,唐山,公众客户,1,频繁换机型,乐视,4G,ANDROID,2.0,社会渠道,137.807338,0.0,26.5,7.2,2.7,4.5,4.5,3.3,否,本地套餐,4G本地套餐-16元套餐
8034,5CC412B5A4453DE2892E241655E8E3EF,男,23.0,天津,公众客户,1,频繁换机型,联想,4G,ANDROID,2.0,社会渠道,41217.5154,41123.20435,38.95,34.0,18.9,0.1,0.1,4.95,否,基本套餐,4G全国套餐-106元套餐（新）
8035,5D0EFDD769B82300BD9CC779AE1464FC,男,34.0,石家庄,公众客户,46,频繁换机型,苹果,3G,IOS,2.0,社会渠道,289.118887,289.118887,32.6,8.9,8.6,0.3,0.3,9.7,否,国内流量套餐,10元100MB国内流量套餐
8036,5D74B226DCAD0BDCBD19A7FF0DEAC03C,女,26.0,承德,公众客户,36,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,749.012639,0.0,52.35,0.0,0.3,2.5,0.0,16.35,否,本地套餐,4G本地套餐-36元套餐
8037,5E975FA017C3AE7FC4C5477307DA9C50,男,30.0,石家庄,公众客户,35,频繁换机型,苹果,3G,IOS,2.0,社会渠道,778.76911,0.0,67.9,0.0,6.9,0.5,0.0,31.9,否,本地套餐,4G本地套餐-36元套餐
8038,5EF11DB7F564C6714D3C9A01B8E74EDE,男,24.0,保定,公众客户,10,频繁换机型,三星,4G,ANDROID 5.1,1.0,自有渠道,562.165985,0.0,66.95,34.2,26.1,0.1,0.1,6.75,否,本地套餐,4G本地套餐-26元套餐
8039,5F76CDADE76EB433F13D97B980587BD4,男,30.0,北京,公众客户,5,频繁换机型,努比亚,4G,ANDROID 5.0.2,1.0,自有渠道,375.828353,64.275208,29.0,13.6,13.2,0.1,0.1,5.4,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8041,60083DE98C7930FCC2EBC807BC34FBD2,女,27.0,天津,公众客户,8,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1880.048362,0.0,98.38,42.0,5.7,27.3,27.3,3.3,否,4G本地语音套餐,4G本地语音套餐-26元套餐
8042,6177AF03812B53F8767565170BAD6BEB,男,22.0,廊坊,公众客户,10,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,767.00578,0.0,69.65,11.6,6.3,0.3,0.3,22.05,否,本地套餐,4G本地套餐-36元套餐
8043,C721F1076602BC317282F5CF8E1AC7B2,男,21.0,北京,公众客户,21,频繁换机型,苹果,4G,IOS,2.0,社会渠道,2291.987512,2289.386286,131.95,4.6,5.0,0.2,0.2,28.35,否,国内流量套餐,90元2GB国内流量套餐
8044,C86973CB28D92E18231F533CDE8DA003,男,41.0,衡水,公众客户,1,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,38.628431,7.286832,24.75,15.12,3.9,12.9,11.61,9.63,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
8045,C8870D9EC836E6924E2181ACC6F45C84,男,48.0,北京,公众客户,75,频繁换机型,魅族,4G,ANDROID 5.1.0,1.0,自有渠道,296.278224,193.215005,86.9,67.9,57.9,10.0,0.0,7.0,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
8046,C889EAA4D1B6A714A8505142769A6ACD,男,18.0,邯郸,公众客户,7,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,2497.295394,0.0,57.6,25.8,0.3,20.6,20.5,4.8,否,省内流量套餐,20元450MB省内流量套餐
8047,CB01562E9E675F3E768CA1C506575809,男,37.0,天津,公众客户,99,频繁换机型,苹果,4G,IOS 6.0,1.0,自有渠道,518.29852,0.083178,123.32,0.4,0.3,0.1,0.0,46.65,是,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8048,CBD5AA7F430E6C98BA796C84350973BE,女,42.0,天津,公众客户,139,频繁换机型,三星,3G,ANDROID 4.3,1.0,自有渠道,891.524513,0.0,108.05,43.2,42.6,8.0,0.0,24.85,否,本地套餐,4G本地套餐-40元套餐（京津）
8049,CC31C00CBF3781CBDBF0D2057D53DF5C,男,20.0,北京,公众客户,23,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,8895.251854,6228.002035,478.08,284.36,268.6,0.76,0.0,3.72,否,国内流量套餐,190元6GB国内流量套餐
8050,CC35124EC0C10AA5ED3C3B2A123A5898,男,53.0,唐山,公众客户,74,频繁换机型,中兴,4G,ANDROID 5.1,2.0,社会渠道,331.72273,0.0,43.55,19.3,19.2,0.1,0.1,8.25,否,本地套餐,4G本地套餐-16元套餐
8051,CC780F5C5E7D49F7FEFBE84A29AB262E,女,21.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 5.1,1.0,自有渠道,691.624506,0.0,80.35,45.8,27.3,16.8,18.5,8.55,否,校园专属-非小区A套餐,校园专属-沃派26元A套餐
8052,CDD5D1025F07DB5EA0C2C3B9AC5B0E7C,女,39.0,石家庄,公众客户,10,频繁换机型,维沃,2G,ANDROID,1.0,自有渠道,223.270937,0.0,44.55,23.0,22.2,0.2,0.8,5.55,否,本地套餐,4G本地套餐-16元套餐
8053,CE3C1844990A3E0EE73A0F74DAF30DAC,女,27.0,北京,公众客户,29,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,6844.385229,322.667563,83.05,65.4,60.0,5.2,5.4,7.65,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8054,CEC3711B519AE786970C4CBEB868DDA7,男,29.0,天津,公众客户,48,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2956.835847,2736.435917,190.62,53.64,60.0,10.34,0.3,12.48,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
8055,CEC70E570E1F3FB1D7DA1E3018B5E219,男,20.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,3334.254464,0.0,110.6,8.8,8.1,0.7,0.7,7.8,否,省内流量套餐,60元1.5GB省内流量套餐
8056,D0CC73234E4C887B53F1CFC07F0497CF,女,28.0,天津,公众客户,29,频繁换机型,欧珀,4G,ANDROID,1.0,自有渠道,564.238217,0.0,46.67,12.5,7.5,5.0,0.0,5.4,否,本地套餐,4G本地套餐-26元套餐
8057,D0F3209290F2294D20DFC983F9359339,女,42.0,北京,公众客户,17,频繁换机型,魅族,4G,ANDROID 4.4.4,2.0,社会渠道,1325.27107,0.0,160.0,61.2,53.4,1.2,1.2,22.8,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8058,D16E14EE5D7BE4B7B1F63E155B007041,女,33.0,天津,公众客户,18,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,826.244833,0.0,55.95,7.7,2.7,5.0,0.0,8.25,否,本地套餐,4G本地套餐-40元套餐（京津）
8059,D20D7327B52AA37FE6DB5BC91F1CF70E,女,22.0,承德,公众客户,5,频繁换机型,苹果,4G,IOS 6.0,1.0,自有渠道,142.63232,0.0,63.3,18.6,12.9,5.7,5.7,14.7,否,4G本地语音套餐,4G本地语音套餐-20元套餐
8061,D46DBBFEED077556C6A4E2B7A850671E,女,40.0,石家庄,公众客户,8,频繁换机型,魅族,4G,ANDROID 5.1.0,2.0,社会渠道,58.400753,0.0,39.05,17.8,17.7,0.1,0.1,11.25,否,4G本地语音套餐,4G本地语音套餐-10元套餐
8062,D5978EF722768DFC5956A8AD47ADD0EE,男,58.0,张家口,公众客户,19,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,308.9877,0.00345,32.95,0.5,0.3,0.2,0.2,6.45,否,本地套餐,4G本地套餐-26元套餐
8063,D6734FD114963BC2943D00D98649E6B2,男,23.0,北京,公众客户,1,频繁换机型,小米,4G,ANDROID 6.0,1.0,自有渠道,319.607054,319.607054,102.3,97.1,96.0,1.1,1.1,5.2,是,省内流量套餐,60元1.5GB省内流量套餐
8064,D6A823BFD3B71FB42A2A7DF3F1E51DF9,男,23.0,北京,公众客户,1,频繁换机型,魅族,3G,ANDROID 5.1,2.0,社会渠道,1053.196559,0.0,339.5,301.7,300.9,0.8,0.8,37.8,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
8065,D72813A727F36FA6D28A6318B6EE4C90,男,24.0,天津,公众客户,12,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,7280.777289,0.0,246.56,29.5,8.7,0.2,0.6,50.55,否,本地套餐,4G本地套餐-40元套餐（京津）
8066,D92E65DEADFDA5D9580AD380D2D54E49,男,37.0,北京,公众客户,20,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,4789.068567,199.537495,931.3,610.0,600.0,10.0,0.0,243.3,否,省内流量套餐,60元1.5GB省内流量套餐
8067,764A60D00FF09778BA43BD6D9DA7DE32,男,34.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,3.397459,3.3968,35.35,1.3,1.2,0.1,0.1,34.05,是,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8068,7739A14FAA76211DD679D6A90D8B3B24,男,47.0,邯郸,公众客户,151,频繁换机型,三星,3G,ANDROID,2.0,社会渠道,0.015987,0.0,32.65,0.5,0.3,0.2,0.2,22.15,否,4G本地语音套餐,4G本地语音套餐-10元套餐
8071,78670B0A6133D94A34E04508539652EE,男,27.0,北京,公众客户,26,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1353.177232,621.596444,180.83,61.42,60.0,1.42,0.0,8.58,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
8072,789E281FF3301C3877BDA6D1DEF68DC4,男,29.0,北京,公众客户,67,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,593.492585,18.526475,174.6,54.84,92.5,2.34,0.0,20.16,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8073,78A3EB4F307EB1E3CC4075119BA5266A,女,33.0,北京,公众客户,49,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,3015.959664,4.630725,236.66,9.78,10.0,0.78,0.0,2.88,否,国内流量套餐,120元3GB国内流量套餐
8074,78FE8BE0646F19E619870667BA7B4778,女,45.0,天津,公众客户,164,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,4193.90074,0.0,245.0,63.1,60.0,3.0,0.1,15.9,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
8076,79D9F726716697D3571CC29AAC2B72F6,女,44.0,天津,公众客户,8,频繁换机型,米歌,2G,ANDROID 4.4.4,2.0,社会渠道,477.696071,19.922106,72.75,11.45,6.0,15.0,0.0,21.3,否,本地套餐,4G本地套餐-40元套餐（京津）
8077,79EBE938A8FB74BCAF127F30ED8E6D29,男,33.0,北京,公众客户,71,频繁换机型,维沃,4G,ANDROID,1.0,自有渠道,478.892023,124.667532,121.55,12.18,25.0,12.18,10.4,74.37,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8078,7B6C6CE01A374FB13BF09ED663E6C6B0,男,45.0,唐山,公众客户,28,频繁换机型,小米,2G,ANDROID 4.4.4,2.0,社会渠道,39.165754,0.0,32.6,9.2,9.0,0.2,0.2,17.4,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8079,7B7702C309D53821791DBC69FCE3D90C,女,24.0,北京,公众客户,41,频繁换机型,苹果,4G,IOS 9.3,2.0,社会渠道,1834.802643,1834.802643,441.76,0.8,260.0,0.8,0.8,24.96,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
8080,7B9602C929B1433F5F988C2EF5F218EF,男,19.0,天津,公众客户,9,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,382.21496,382.21496,185.0,114.9,114.9,0.9,0.0,0.1,是,本地套餐,4G本地套餐-70元套餐
8082,8BEF87D160C78E09FE8EACAF771A144E,男,45.0,保定,公众客户,176,频繁换机型,小米,3G,ANDROID 4.2.2,1.0,自有渠道,163.44863,53.933809,89.85,19.9,16.2,1.6,1.7,53.95,否,本地套餐,4G本地套餐-16元套餐
8083,8D2DBE731CA5680969396669F618B5EF,男,41.0,天津,公众客户,58,频繁换机型,联想,2G,ANDROID,2.0,社会渠道,0.053208,0.0,66.4,3.3,0.3,3.0,0.0,53.1,否,4G本地迁转套餐,4G本地迁转套餐-10元套餐（津）
8086,8DA76318436E556C706FEB05F5DBF3FB,男,24.0,北京,公众客户,14,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,1750.054241,285.65101,102.63,10.98,10.2,0.78,0.0,44.7,否,省内流量套餐,30元750MB省内流量套餐
8087,8EDC6930B49C521076A6918A864A6BDE,女,21.0,石家庄,公众客户,18,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,693.809248,0.0,70.15,17.3,13.5,1.8,1.8,38.85,否,省内流量套餐,10元150MB省内流量套餐
8089,903847BD3115585A67AD6E13ADC85249,女,22.0,北京,公众客户,33,频繁换机型,苹果,4G,IOS,2.0,社会渠道,265.596314,40.18377,35.9,4.7,2.2,2.5,2.5,17.2,否,国内流量套餐,10元100MB国内流量套餐
8090,90BF92C7D93D8847A7A77470017CE2C0,女,26.0,唐山,公众客户,10,频繁换机型,金立,4G,ANDROID,2.0,社会渠道,566.713857,70.384854,48.25,13.2,21.3,0.6,0.0,9.05,否,本地套餐,4G本地套餐-26元套餐
8092,449B1BC888A28BF340B723EE66A59C8A,男,23.0,天津,公众客户,1,频繁换机型,欧珀,2G,ANDROID 4.4.4,1.0,自有渠道,157.67497,0.0,51.45,48.3,47.4,0.9,0.8,3.15,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8093,453E7A70F8C33F5073E86F1E7C65E12A,女,22.0,天津,公众客户,44,频繁换机型,华为,4G,ANDROID 5.0,2.0,社会渠道,945.456091,0.0,60.59,23.7,20.7,3.0,0.0,7.6,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
8094,45ABEB69BBD1F974B6A4E8AF7B81F4A8,男,22.0,石家庄,公众客户,2,频繁换机型,魅族,4G,ANDROID 4.4.4,1.0,自有渠道,6115.549012,0.3807,44.6,1.8,0.3,1.5,1.5,16.8,否,本地套餐,4G本地套餐-26元套餐
8095,46566189859D3C970312126FC03E62F6,男,44.0,天津,公众客户,5,频繁换机型,乐视,4G,ANDROID,1.0,自有渠道,867.494657,238.424571,12.25,1.6,1.2,0.4,0.4,4.65,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8097,4952C02B04BFAF28FA30C0AC95D6FB1E,男,47.0,天津,公众客户,81,频繁换机型,苹果,3G,IOS,1.0,自有渠道,5530.076772,1179.235243,462.0,265.7,222.6,20.0,0.1,60.3,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
8098,49BFDCED57655B9D9AA9F09B27502FA7,男,20.0,秦皇岛,公众客户,9,频繁换机型,金立,3G,ANDROID,1.0,自有渠道,979.808374,0.0,96.65,32.8,13.5,4.3,4.3,47.85,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
8099,E46766BAB802B23B4A768A47066325DF,女,22.0,天津,公众客户,45,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,3116.624943,3116.624943,152.05,19.2,14.0,0.2,0.0,14.85,否,国内流量套餐,90元2GB国内流量套餐
8100,E4A0294C9994A18725031E5221CE214A,男,26.0,天津,公众客户,25,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,1221.908578,0.0,202.35,81.0,51.9,15.0,0.1,11.7,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
8101,E4F1C7257EF0E03E2C7F26DBF9BEA922,女,37.0,天津,公众客户,54,频繁换机型,苹果,3G,IOS,2.0,社会渠道,49.429895,0.0,85.16,21.8,13.8,8.0,0.0,53.28,否,4G本地迁转套餐,4G本地迁转套餐-10元套餐（津）
8103,E6E8F15CCD49DC5BD5464CCDEB93AF7C,女,49.0,北京,公众客户,14,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,913.392777,0.000428,72.48,0.56,0.3,0.26,0.0,1.92,否,4G本地行业套餐,集客4G本地行业套餐-66元套餐（京）
8104,E8000952BB8E42D252516CAC77D017BA,男,21.0,北京,公众客户,42,频繁换机型,三星,4G,ANDROID 4.4.4,1.0,自有渠道,3574.284329,0.0,186.05,92.9,42.9,50.0,0.0,27.15,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
8105,E921DF446192CEBAE0E864D12B723852,男,22.0,北京,公众客户,9,频繁换机型,苹果,4G,IOS 9.3,1.0,自有渠道,1398.665367,33.344788,17.7,2.6,2.1,0.5,0.5,5.1,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8106,E9C729609264842030C8D7F029FEAA10,男,47.0,天津,公众客户,99,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,5204.051841,0.0,382.75,123.6,120.0,3.0,0.6,63.15,是,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
8108,EA32F8C8A4DF2B6F583CB25EFBA92953,男,24.0,保定,公众客户,4,频繁换机型,联想,3G,ANDROID,2.0,社会渠道,817.516661,734.720881,125.33,44.9,20.4,23.8,23.9,3.05,否,4G本地语音套餐,4G本地语音套餐-36元套餐（冀）
8109,EBDE0D22851CE481A9150708E718F132,男,33.0,天津,公众客户,86,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1371.573458,130.574036,64.67,23.0,18.0,5.0,0.0,0.15,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
8110,ECF09D883B3E7368F36A1E6849486868,男,40.0,天津,公众客户,11,频繁换机型,苹果,4G,IOS 6.0,1.0,自有渠道,2261.94355,0.0,119.5,49.9,18.9,17.0,0.0,8.4,否,本地套餐,4G本地套餐-40元套餐（京津）
8111,ED338450E9F202A6021B0B28171F3642,男,38.0,北京,公众客户,10,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,588.727582,0.0,19.85,8.5,6.6,0.1,0.1,1.35,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
8112,EF4264307FEDA4DB25CA2D110D5FCFDE,女,28.0,北京,公众客户,45,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,746.32287,0.0,89.45,17.4,2.4,15.0,0.0,46.05,否,校园专属-非小区A套餐,校园专属-沃派26元A套餐
8113,EF96046C0D1EFAF3653ECE30FB211A44,女,34.0,沧州,公众客户,1,频繁换机型,维沃,2G,ANDROID,2.0,社会渠道,0.377003,0.0,11.05,0.9,0.3,0.6,0.6,10.15,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
8114,EFBBEFDE2558DE900CAE49455EB17F39,女,27.0,保定,公众客户,6,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,774.56018,0.0,89.75,8.9,7.8,1.1,1.1,44.85,否,本地套餐,4G本地套餐-36元套餐
8115,D84C9CC331801BA9D7F10AFC17A663BB,男,31.0,北京,公众客户,1,频繁换机型,乐视,4G,ANDROID,1.0,自有渠道,293.104985,0.0,33.9,0.5,0.2,0.3,0.3,17.4,否,国内流量套餐,20元300MB国内流量套餐
8116,D859E07728DD069F62484DEFA75C9EB4,男,40.0,北京,公众客户,19,频繁换机型,苹果,3G,IOS,1.0,自有渠道,736.317628,736.317628,77.86,1.94,5.0,1.94,0.9,22.92,否,国内流量套餐,20元300MB国内流量套餐
8117,DB8CACB2A2792F31A1BA0B13F26F0EC4,女,22.0,天津,公众客户,34,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,2151.872686,35.391412,81.04,13.8,10.8,3.0,0.0,1.95,是,校园专属-小区基本套餐,校园专属-沃派50元套餐（校园）
8118,DBF1F2AE412C2A2EA1346ADD42C3B6B0,男,21.0,北京,公众客户,33,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,1792.728193,1342.912492,169.7,83.5,58.5,10.0,0.0,45.2,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
8119,DC7B43239576EA25828E30B9BCF786C8,男,23.0,北京,公众客户,10,频繁换机型,苹果,3G,IOS,2.0,社会渠道,1253.74669,13.693699,352.6,326.5,316.2,10.0,0.0,20.1,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
8120,DD2E4EA0C23FC7935244DA3369F00B5B,男,55.0,天津,公众客户,63,频繁换机型,华为,4G,ANDROID 5.0,1.0,自有渠道,331.095437,0.008808,31.56,0.0,0.3,0.1,0.0,9.46,否,本地套餐,4G本地套餐-26元套餐
8121,DDDED85D7A32FE3D2E9F149A6C008DA8,男,20.0,天津,公众客户,3,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,450.705233,0.0,121.16,5.0,8.1,13.9,0.0,48.0,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
8122,DEDA0719A117EDCB5F1238D4F972680C,男,25.0,北京,公众客户,5,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,1666.808397,143.729867,196.68,40.92,120.0,1.52,0.0,11.16,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
8123,DF8309527FAE01EC4CF7E1FFEA2CF4F1,女,25.0,邯郸,公众客户,1,频繁换机型,魅族,4G,ANDROID 4.4.4,2.0,社会渠道,346.584991,0.038906,40.75,1.5,0.3,0.9,1.2,13.25,否,本地套餐,4G本地套餐-26元套餐
8124,E00974675A6451AD562F2B8BA9A9BCC7,男,34.0,天津,公众客户,1,频繁换机型,小米,4G,ANDROID 4.4.2,2.0,社会渠道,306.099235,105.705835,34.65,32.4,31.8,0.4,0.6,2.25,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
8125,E29E632A61A575D61CD09BE4B2EF6F8A,男,57.0,天津,公众客户,47,频繁换机型,苹果,3G,IOS,2.0,社会渠道,259.891766,0.0,109.75,5.9,0.3,5.0,0.0,59.4,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
